Intent,Query,Responses
Acad_Teo_EV_Redes sociales​,When did web  1.0  or basic internet emerge?,Social networks​: These are applications that allow you to share content of interest and promote student participation and comments on the different publications.​
Acad_Teo_EV_rol del maestro por el uso de las nuevas tecnologías en la educación,These are tasks that the teacher must fulfill in virtual education.,From exhibitor to guide and media manager. Click here for more information.
Acad_Teo_EV_rol que asume el estudiante,Telesecundaria,Builder of your knowledge. Click here for more information.
Acad_Teo_EV_rol que debe asumir el docente virtual,How is theory with practice?,facilitator. Click here for more information.
Acad_Teo_EV_se puede afirmar que existe relación entre la tecnología y la cultura,"They are educational practices that, according to  César Coll , correspond to the category of ICT as mediating instruments between teachers and students or between students.","Because technology is socially applied knowledge and culture influences the effects of that technology, since it guides human action through values and beliefs."
Acad_Teo_EV_segundo momento de la evolución de la investigación en tecnología educativa,It is the category of the use of ICT as mediating instruments that is more related to virtual environments and their potential capacity to transform teaching-learning processes.,Studies focused on the analysis of structural attributes and their way of organizing them.
Acad_Teo_EV_sensación de desorientación y soledad,What kind of media are used with new technologies?,Falta de una respuesta de forma oportuna a los mensajes o no obtener ninguna. Da clic aquí para más información relacionada.
Acad_Teo_EV_surgió la web 1.0 o internet básico,What are the  three  pillars that support the theory of critical thinking?,in the 1960s. Click here for more information.
Acad_Teo_EV_tareas que debe cumplir el docente en la educación virtual,What are the  three  vertices that make up web  2.0 ?,"Guide the processes of search, analysis, selection, interpretation and synthesis of information. Click here for more information."
Acad_Teo_EV_Telesecundaria,It is a characteristic of virtual education.,Telesecundaria: It is the name of an application of television in formal educational projects in Mexico that began in the 1960s. Click here for more information.
Acad_Teo_EV_teoría con la práctica,Where and with the opening of which university did the  first  virtual education proposal arise?,Theory with practice: Despite knowing the improvement effects that the use of web 2.0 seems to produce in education. Click here for more information.
Acad_Teo_EV_TIC como instrumentos mediadores entre los profesores y los alumnos,What are virtual universities?,"Use ICT to carry out communicative exchanges between teachers and students, not directly related to the contents or teaching activities."
Acad_Teo_EV_TIC como instumentos mediadores que está más relacionada con los entornos virtuales,It is an advantage of virtual education for learners.,ICT as tools to configure environments or work and learning spaces.
Acad_Teo_EV_tipo de medios se emplean con las nuevas tecnologías,What is an advantage of virtual education for countries?,Medios digitales.
Acad_Teo_EV_tres pilares que le dan sustento a la teoría del pensamiento crítico,It is one of the advantages of the virtual library.,"Critical thinking skills, communicative competence and self-regulation. Click here for more information."
Acad_Teo_EV_tres vértices que componen la web 2.0,It is one of the advantages of virtual libraries that makes them a valuable resource for virtual education and that libraries do not have in physical environments.,"Technology, community and business."
Acad_Teo_EV_una característica de la educación virtual,It is an orientation that is proposed to be carried out after the visit to the virtual museum.,"Virtual education can be provided by an educational institution, but the actors in the educational process are geographically distant from each other."
Acad_Teo_EV_universidad surgió la primera propuesta de educación virtual,What is web  2.0 ?,United Kingdom with the Open University Click here for more information.
Acad_Teo_EV_Universidades virtuales,What is Wiki?,"Virtual Universities: These are higher education institutions in which the teaching-learning process occurs entirely through the network, through the use of the tools provided by ICT. Click here for more information."
Acad_Teo_EV_ventaja de la educación virtual para los educandos,Who developed the World Wide Web in  1989 ?,"The personalization of the treatment with the teacher and his classmates, making the student the protagonist of his own training process. Click here for more information."
Acad_Teo_EV_ventaja de la educación virtual para los países,"According to Selwyn, it is the angle of the repercussions of the Internet on education and learning that refers to the fact that the Internet favors forms of creation and consumption that are far removed from the epistemological premises of formal education and mass instruction.",Increases the effectiveness of budgets allocated to education. Click here for more information.
Acad_Teo_EV_ventajas de la biblioteca virtual,"What is the key indicator of the extent to which these activities have generated sufficient liquid funds to repay loans, maintain the entity's operating capacity, pay dividends and make new investments without resorting to external sources of financing?",It is personalization of bibliographic and documentary content and services according to the user's profile. Click here for more information.
Acad_Teo_EV_ventajas de las bibliotecas virtuales que las convierte en un recurso valioso,What does current or short-term assets refer to?,"They design, create and organize content and services that adapt to the user, personalizing their experience."
Acad_Teo_EV_visita al museo virtual,What does inventory management refer to?,Share the stories of the experiences with classmates and teachers.
Acad_Teo_EV_Web 2.0,What is the amount that is not allowed to be exceeded by commercial companies with non-performing loans?,Web 2.0: It is constituted as the new educational paradigm towards the construction of a new way of thinking about education. Click here for more information.
Acad_Teo_EV_Wiki,What is the objective of the cash forecast?,"Wiki: It is a website where the content is created with the interventions or contributions of various users, who can read, create, comment or modify. Click here for more information."
Acad_Teo_EV_World Wide Web,What is the purpose of the financial ratio?,Tim Berners-Lee. Click here for more information.
Acad_Teo_EV_ángulo de las repercusiones de internet en la educación y el aprendizaje,"What is the purpose of the treasury, according to  Abraham Perdomo ?",Ability to foster large-scale connectivity between people and information by changing the relationship with knowledge.
Acad_Teo_FAF_ Cuál es el indicador clave de la medida,What is the goal of a manager in making decisions?,"The key indicator of the extent to which these activities have generated sufficient liquid funds to repay loans, maintain the entity's operating capacity, pay dividends and make new investments without resorting to external sources of financing is: Operating activities"
Acad_Teo_FAF_A qué hace referencia el activo circulante o a corto plazo,What is the collection process?,Current or short-term assets refer to: All accounts that mean cash that is converted into money
Acad_Teo_FAF_A qué se refiere la administración de inventarios,What is the most relevant point of the evaluation process in the classroom from a cognitive approach?,"Inventory management refers to: Acquisition, safeguard, storage, availability, profitability, productivity and proper sale"
Acad_Teo_FAF_Cuál es el monto que no se permiten rebasar las empresas comerciales de cartera vencida,What is the optimal portfolio in accounts receivable?,The amount that is not allowed to be exceeded by commercial companies with non-performing loans is: 5%
Acad_Teo_FAF_Cuál es el objetivo de la previsión de tesorería,What is the difference between FIFO and LIFO methods?,The objective of the treasury forecast is: To calculate the current financing needs and eventual treasury surpluses
Acad_Teo_FAF_Cuál es el objetivo de la razón financiera,What is the purpose of the initial evaluation?,"It is the objective of the financial reason is: To understand, through it, the situation of the company or to know the problems it has"
"Acad_Teo_FAF_cuál es el objetivo de la tesorería, de acuerdo con Abraham Perdomo",What is the measure of liquidity that is calculated by dividing the company's current assets by its current liabilities?,"According to Abraham Perdomo, the objective of the treasury is: Properly manage cash in cash and banks"
Acad_Teo_FAF_Cuál es el objetivo de un gerente en la toma de decisiones,What is the main task of the treasury?,The goal of a manager in making decisions is to: Maximize the value of the company
Acad_Teo_FAF_Cuál es el proceso de la cobranza,What is an example of a written test?,"The collection process is: Collection, promotion, evaluation, approval and disbursement"
Acad_Teo_FAF_Cuál es el punto más relevante del proceso,What would be a financial risk?,The most relevant point of the evaluation process in the classroom from a cognitive approach is: Conceive the individual as an integral being
Acad_Teo_FAF_Cuál es la cartera óptima en cuentas por cobrar,What were the tests that the reformers of the late twentieth century developed from constructivism?,The optimal portfolio of accounts receivable is: The one that generates the least risk and the highest return
Acad_Teo_FAF_Cuál es la diferencia entre los métodos PEPS y UEPS,What would be some cost issues?,The difference between the FIFO and LIFO methods is: In one the inventory is updated in the statement of financial position and the other in the cost of sales
Acad_Teo_FAF_Cuál es la finalidad de la evaluación inicial,What are evaluable elements of basic competencies?,The purpose of the initial evaluation is: To establish the knowledge previously achieved by the students
Acad_Teo_FAF_Cuál es la medida de liquidez que se calcula al dividir,What are the considerations for constructing profitability indicators?,The measure of liquidity that is calculated by dividing the company's current assets by its current liabilities is: Current liquidity
Acad_Teo_FAF_Cuál es la tarea principal de la tesorería,What are asset accounts?,The main task of the treasury is: Efficiently plan and control cash inflows and outflows
Acad_Teo_FAF_Cuál es un ejemplo de prueba escrita,What are liability accounts?,An example of a written test is: Test of mathematical competence
Acad_Teo_FAF_Cuál sería un riesgo financiero,What are the budgeted inflows in cash flow according to the credit policy granted to the clients with whom we carry out the commercialization operations?,A financial risk is: A high level of indebtedness and poor collection without return of money
Acad_Teo_FAF_Cuáles fueron las pruebas que desarrollaron los reformadores de finales del siglo XX,What are the ways to balance a budget?,The tests that the reformers of the late twentieth century developed from constructivism are: Performance-based tests
Acad_Teo_FAF_Cuáles serían algunos problemas del costo,What are the basic functions of the CIEES?,"What would be some cost problems: Inappropriate use, exaggerated analysis, lack of qualified personnel, lack of understanding of the analysis"
Acad_Teo_FAF_Cuáles son elementos evaluables de las competencias básicas,What are the functions of the financial manager?,The evaluable elements of the basic competences are: Attention and understanding
Acad_Teo_FAF_Cuáles son las consideraciones para construir indicadores de rentabilidad,What are the parts of financial statements?,The considerations to build profitability indicators are: Necessarily take into account the formulation and measurement of profitability in order to develop an indicator
Acad_Teo_FAF_Cuáles son las cuentas de activo,What are the  three  classifications of assessment instruments?,"Asset accounts are: Cash, Banks, Investments, Clients and Debtors"
Acad_Teo_FAF_Cuáles son las cuentas de pasivo,What are the techniques for proper inventory management?,"The liability accounts are: Suppliers, Creditors, Advances, Dividends"
Acad_Teo_FAF_Cuáles son las entradas presupuestadas en flujo de fondos,What are the intellectual areas of the cognitive field?,The budgeted cash flow entries in accordance with the credit policy granted to clients with whom we carry out marketing operations are: Income programming and control
Acad_Teo_FAF_Cuáles son las formas de equilibrar un presupuesto,What are the changes generated by the incursion of constructivism in evaluation?,"The ways to balance a budget are: Modifying, adding or eliminating items and modifying collection and payment terms"
Acad_Teo_FAF_Cuáles son las funciones básicas de los CIEES,What are the main financial statements?,"The basic functions of the CIEES are: Diagnostic evaluation, accreditation and recognition"
Acad_Teo_FAF_Cuáles son las funciones del administrador financiero,What are the basic factors that determine credit risk?,"The functions of the financial administrator are: Planning, organization, direction and control of departmental activities"
Acad_Teo_FAF_Cuáles son las partes de los estados financieros,What are the basic factors that determine the type of risks of an uncollectible account?,"The parts of the financial statements are: header, body and footer"
Acad_Teo_FAF_Cuáles son las tres clasificaciones de los instrumentos de evaluación,What are the indicators of cash management in the treasury?,"The three classifications of assessment instruments are: oral, written, or observational function"
Acad_Teo_FAF_Cuáles son las técnicas para el manejo adecuado de los inventarios,What are the financial indicators?,"The techniques for the proper management of inventories are: ABC Methods, Cost-benefit and Just in time"
Acad_Teo_FAF_Cuáles son las áreas intelectuales del campo cognoscitivo,What are the methods of portfolio analysis?,The intellectual areas of the cognitive field are: Knowledge and synthesis
Acad_Teo_FAF_Cuáles son los cambios que ha generado la incursión,What are the procedures to carry out the analysis of the financial statements?,"The changes generated by the incursion of constructivism in evaluation are: Changes in the focus of the teaching-learning process, in content and in the logic of evaluation"
Acad_Teo_FAF_Cuáles son los estados financieros principales,What are the purposes for assessing in the classroom?,"The main financial statements are: Statement of position, income statement and statement of origin and application of funds."
Acad_Teo_FAF_Cuáles son los factores básicos que determinan el riesgo de crédito,What are the types of financial statements?,"The basic factors that determine credit risk are: Character, capacity, capital and conditions"
Acad_Teo_FAF_Cuáles son los factores básicos que determinan el tipo de riesgos,What are the types of evaluation that respond to the purposes of evaluating in the classroom?,"The basic factors that determine the type of risks of an uncollectible account are: Amount, payment capacity, solvency and conditions."
Acad_Teo_FAF_Cuáles son los indicadores de la administración del efectivo en la tesorería,What are other forms of cost-benefit variances?,"The indicators of cash management in the treasury are: Cash turnover, level of funds, average cash cycle"
Acad_Teo_FAF_Cuáles son los indicadores financieros,How does just-in-time warehouse rotation work?,"The financial indicators are: Liquidity, indebtedness, profitability, productivity, growth and business activity"
Acad_Teo_FAF_Cuáles son los métodos de análisis de la cartera,How is the solvency level calculated?,"The portfolio analysis methods are: Integration of the percentages, increase and decrease of the portfolio"
Acad_Teo_FAF_Cuáles son los procedimientos para llevar a cabo el análisis de los estados financieros,How is working capital formed?,"The procedures to carry out the analysis of the financial statements are: percentage Trends, comprehensive percentages and financial ratios."
Acad_Teo_FAF_Cuáles son los propósitos para evaluar en el aula,How are purchases controlled in a company?,The purposes for evaluating in the classroom are: Improving the educational process and informing different actors about the achievements obtained
Acad_Teo_FAF_Cuáles son los tipos de estados financieros,How is the collection period determined?,"The types of financial statements are: The balance sheet, income statement, cash flow statement, statement of changes in stockholders' equity."
Acad_Teo_FAF_Cuáles son los tipos de evaluación a los que,How is the ratio of investment in accounts receivable determined?,The types of evaluation that respond to the purposes of evaluating in the classroom are: Formative and summative evaluation
Acad_Teo_FAF_Cuáles son otras formas de variaciones del costo-beneficio,How is the level of the portfolio measured in companies?,"The other forms of benefit-cost variances are: system analysis, fixed benefits, internal rate of return, and treatment of uncertainty."
Acad_Teo_FAF_Cómo funciona la rotación de almacén justo a tiempo,How is a credit granted?,Just-in-time warehouse rotation works: This warehouse works only with the inventory necessary for its operation.
Acad_Teo_FAF_Cómo se calcula el nivel de solvencia,What does the credit and collection department do?,The solvency level is calculated from: Current assets / Current liabilities and must be less than 2
Acad_Teo_FAF_Cómo se conforma el capital de trabajo,Where should credit policies be contained?,Working capital is made up of: Current assets minus current liabilities
Acad_Teo_FAF_Cómo se controlan las compras en una empresa,What is the ABC method in inventory management?,"Purchases in a company are controlled with: Proper inventory management, as it is essential for cash management"
Acad_Teo_FAF_Cómo se determina el plazo de cobranza,What is formative assessment?,The collection period is determined by: 360 days between customer turnover
Acad_Teo_FAF_Cómo se determina la razón de inversión en cuentas por cobrar,When is the pedagogical evaluation carried out?,The ratio of investment in accounts receivable is determined by: Accounts receivable divided by total assets
Acad_Teo_FAF_Cómo se mide el nivel de la cartera en las empresas,In which organization was the project General Guidelines and Strategy for Evaluating Higher Education developed?,"The level of the portfolio in companies is measured by: Accounts receivable, uncollectible accounts, plus total money losses and their averages"
Acad_Teo_FAF_Cómo se otorga un crédito,At what time did the concern about the effectiveness and efficiency with which educational institutions met their objectives begin?,A credit is granted because: An investigation is carried out and at the end of it the amount of credit that will be offered to your client is fixed
Acad_Teo_FAF_De qué se encarga el departamento de crédito y cobranza,"Is it the one that refers to delays in payment by the client, adding the expenses for the reminder procedures?",The credit and collection department is in charge of: Assigning the credits and supervising that they are collected
Acad_Teo_FAF_Dónde deben estar contenidas las políticas de crédito,Is it based mainly on the evaluation of collection policies and changes in plans?,Credit policies must be contained in: In the internal control manual
Acad_Teo_FAF_En qué consiste el método ABC en la administración de inventarios,Does profitability directly impact liquidity?,The ABC method in inventory management consists of: It allows defining each of the steps and identifying the correct operation
Acad_Teo_FAF_En qué consiste la evaluación formativa,Do uncollectible accounts impact cash?,Formative assessment consists of: Providing feedback to improve teaching and learning activities under development
Acad_Teo_FAF_En qué momentos se realiza la evaluación pedagógica,What are current assets used for?,"The pedagogical evaluation is carried out: At the beginning, throughout the process, and at the end."
Acad_Teo_FAF_En qué organización se desarrolló el proyecto Lineamientos generales y estrategia,What is the use of identifying warehouse or inventory levels?,The organization in which the project General guidelines and strategy for evaluating higher education was developed is: CONAEVA
Acad_Teo_FAF_En qué época comenzó la preocupación sobre la eficacia y la eficiencia,Why is inventory management so important?,The time when concern about the effectiveness and efficiency with which educational institutions met their objectives began was: In the 1980s
Acad_Teo_FAF_Es aquel que se refiere a los retrasos en el pago por parte del cliente,Why is it very important for a company to know how to interpret financial information?,"The one that refers to the delays in the payment by the client, adding the expenses for the reminder procedures is: Cost of delinquency"
Acad_Teo_FAF_Está basado principalmente en la evaluación de políticas,Who determines the days of credit granted to each client?,It is based mainly on the evaluation of collection policies and change of plans: Gitman Model
Acad_Teo_FAF_La rentabilidad impacta directamente la liquidez,Who was the initiator of the classroom assessment movement?,"Profitability directly impacts liquidity: Yes, profitability and liquidity are always linked"
Acad_Teo_FAF_Las cuentas incobrables impactan los efectivos,Who or who are responsible for generating the portfolio analysis?,"Bad debts impact cash: Yes, simply because money stops coming into the company and it is never recovered"
Acad_Teo_FAF_Para qué se usa el activo circulante,Who makes the decisions based on the financial statements?,Current assets are used to: Cover short-term and immediate commitments
Acad_Teo_FAF_Para qué sirve identificar los niveles de almacén o inventario,What data does an income statement contain?,Identifying warehouse or inventory levels serves to: Establish an adequate purchasing level to have dynamic and sufficient inventories
Acad_Teo_FAF_Por qué es de suma importancia la administración de inventarios,What documents are needed to pay for a service?,Inventory management is extremely important because: In many companies a large investment is concentrated in this area
"Acad_Teo_FAF_Por qué para una empresa, es muy importante saber interpretar la información financiera",What elements make up the cash flow?,It is very important for a company to know how to interpret financial information for: proper decision-making
Acad_Teo_FAF_Quién determina los días de crédito otorgados a cada cliente,What is considered the backbone of all the tests and evaluation instruments that are used?,"Who determines the days of credit granted to each client is: Each company has established policies and deadlines in relation to the collection and, in turn, the payment of suppliers."
Acad_Teo_FAF_Quién fue el iniciador del movimiento de evaluación en el aula,What is the warehouse or inventory within the accounting and financial field?,The initiator of the classroom assessment movement was: Thorndike
Acad_Teo_FAF_Quién o quiénes son los responsables de generar el análisis de la cartera, What is working capital?,Those responsible for generating the analysis of the portfolio are: The credit and collection department
Acad_Teo_FAF_Quién toma las decisiones a partir de los estados financieros,What is risk control?,Decisions based on the financial statements are made by: The manager
Acad_Teo_FAF_Qué datos contiene un estado de resultados,What is the effect of inflation?,The data contained in an income statement are: Profit and Loss
Acad_Teo_FAF_Qué documentos se necesitan para el pago de un servicio,What is the basic financial statement?,"The documents needed to pay for a service are: Invoices, promissory notes and bills of exchange"
Acad_Teo_FAF_Qué elementos integran el flujo de efectivo,What is feedback?,"The elements that make up the cash flow are: Operating, investment and financial activities"
Acad_Teo_FAF_Qué es considerado la vértebra de todas las pruebas e instrumentos de evaluación,What is the ABC method?,The backbone of all the tests and evaluation instruments that are used is: Learning to learn
Acad_Teo_FAF_Qué es el almacén o inventario dentro del ámbito contable y financiero,What is the balance point within an organization?,"Within the accounting and financial field, the warehouse or inventory is: Current assets"
Acad_Teo_FAF_Qué es el capital de trabajo,What is the optimal volume of purchases?,Working capital is: The short-term monetary resources of a company to generate its daily operations
Acad_Teo_FAF_Qué es el control de riesgos,What is cash management?,Risk control implies: visualizing and preventing situations that put financial objectives at risk and everything that has to do with their probability of occurrence
Acad_Teo_FAF_Qué es el efecto de la inflación,What is accounts receivable financial management?,The effect of inflation is: The sustained and widespread increase in the price level of goods and services
Acad_Teo_FAF_Qué es el estado financiero básico,What is financial management?,The basic financial statement is: Dates determined on the state or development of the financial administration of a company
Acad_Teo_FAF_Qué es el feedback,What is the client portfolio?,Feedback is: The evaluation instrument that gives the student feedback.
Acad_Teo_FAF_Qué es el método ABC,What is PEPS?,The ABC method is: The system that determines activities that add value
Acad_Teo_FAF_Qué es el punto de equilibrio dentro de una organización,What is debt ratio?,The break-even point within an organization is: when a company's sales revenues are equal to total costs (variable costs + fixed costs)
Acad_Teo_FAF_Qué es el volumen óptimo de compras,What is liquidity ratio?,"The optimal volume of purchases is: the appropriate amount of purchases, according to the planned programs"
Acad_Teo_FAF_Qué es la administración de efectivo,What is solvency?,Cash management is: The optimization mechanisms that are used to collect cash and make disbursements
Acad_Teo_FAF_Qué es la administración financiera de cuentas por cobrar,What is UEPS?,"The financial management of accounts receivable: Represents the credit granted by the company to consumers in open accounts, to sustain and increase sales."
Acad_Teo_FAF_Qué es la administración financiera,What is a vertical analysis?,"Financial administration are: the tasks of the financial manager of the company, which involve dealing with financial matters"
Acad_Teo_FAF_Qué es la cartera de clientes,What is a financial risk?,The client portfolio is: Accounts receivable
Acad_Teo_FAF_Qué es PEPS,What does the cost-benefit analysis evaluate in a company?,"FIFO is: First In, First Out"
Acad_Teo_FAF_Qué es razón de endeudamiento,What factors influence the management of financial information factors and their collection?,The debt ratio is: Measures the percentage of total funds provided by owners compared to financing provided by creditors
Acad_Teo_FAF_Qué es razón de liquidez,What factors influence the duration of assets?,The liquidity ratio is: The Solvency of the general financial position of the company
Acad_Teo_FAF_Qué es solvencia,What does a financial manager do?,Solvency is: The assets of the company to face future commitments
Acad_Teo_FAF_Qué es UEPS,What does the  5  C method involve?,"The LIFO is: Last In, First Out"
Acad_Teo_FAF_Qué es un análisis vertical,What does granting credit imply?,A vertical analysis is: The evaluation of the operation of the company in a period already specified
Acad_Teo_FAF_Qué es un riesgo financiero,What information does the financial interpretation yield?,A financial risk is: The probability of not fulfilling the commitments acquired by a company
Acad_Teo_FAF_Qué evalúa el análisis del costo-beneficio en una empresa,What information does the random tests of stocks in inventories yield?,"What the cost-benefit analysis evaluates in a company is: Assumptions, models, restrictions, alternatives, specifications, considerations and uncertainty"
Acad_Teo_FAF_Qué factores influyen en el manejo de los factores,What does summative classroom assessment measure?,"The factors that influence the management of financial information factors and their collection are: working capital, accounts receivable, inventories and liabilities."
Acad_Teo_FAF_Qué factores influyen en la duración de activos,What does profitability measure?,The factors that influence the duration of assets are: Technological development and intensity of use of assets
Acad_Teo_FAF_Qué hace un gerente financiero,What does the user need to assess the adequacy of the entity's resources to meet its short-term cash commitments?,"A financial manager does: Measure company performance, determine financial consequences and how to use assets Click here for more related information."
Acad_Teo_FAF_Qué implica el método de las 5 C,What operations does the company seek in the cash flow?,"What the 5 C method implies is: Character, capacity, capital, collateral, conditions"
Acad_Teo_FAF_Qué implica un otorgamiento de crédito,What does an uncollectible account represent?,What a credit granting implies is: The Risk
Acad_Teo_FAF_Qué información arroja la interpretación financiera,What do accounts receivable represent?,"Information provided by the financial interpretation: Indicates solvency, liquidity and leverage"
Acad_Teo_FAF_Qué información arrojan las pruebas aleatorias de existencias en inventarios,What is considered most important in financial management?,"The random tests of stocks in inventories yield information, such as: Rotation level, shortages, irregularities in inventories and high demand products"
Acad_Teo_FAF_Qué mide la evaluación sumativa en el aula,What is presented on the balance sheet?,Summative assessment in the classroom measures: The learning objectives
Acad_Teo_FAF_Qué mide la rentabilidad,"What are credit checks, business and personal references, seasonality of sales, and credit sales volume?",Profitability measures: How efficiently and effectively resources have been used within the company
Acad_Teo_FAF_Qué necesita el usuario para evaluar la suficiencia de los recursos de la entidad,What are finances?,What serves the user to assess the sufficiency of the entity's resources to meet its cash commitments in the short term is: Liquidity
Acad_Teo_FAF_Qué operaciones procura la empresa en el flujo de efectivo,"What are normal operations, unexpected operations, speculative activities and bank reciprocity?","The operations that the company seeks in the cash flow are: Normal, precautionary and opportunity operations"
Acad_Teo_FAF_Qué representa una cuenta incobrable,What are credit policies?,What represents an uncollectible account is: Loss
Acad_Teo_FAF_Qué representan las cuentas por cobrar,What are assets?,What accounts receivable represent are: Credits
Acad_Teo_FAF_Qué se considera más importante en la administración financiera,What are fixed funds?,"What is considered most important in financial management is: Collect information, plan, analyze, control and make decisions. Click here for more information"
Acad_Teo_FAF_Qué se presenta en el balance general,"Does it refer to the sum of the previous  three , plus the cost of the merchandise that was the object of the sale that could not be recovered?",What is presented in the balance sheet is: The information in the same report presented to make decisions in the areas of investment and financing
"Acad_Teo_FAF_Qué son las evaluaciones de crédito, referencias comerciales y personales",What are the types of financial ratios?,"Credit evaluations, business and personal references, seasonality of sales, and credit sales volume are: Standards for determining credit"
Acad_Teo_FAF_Qué son las finanzas,What are the fields of professional action?,Finance is: The science that studies the correct administration of the values of an economic entity Click here for more related information.
"Acad_Teo_FAF_Qué son las operaciones normales, operaciones imprevistas",What characteristics should the public accountant have  today ?,"The normal operations, unforeseen operations, speculative activities and reciprocity of the banks, are: Basic reasons to have money in cash"
Acad_Teo_FAF_Qué son las políticas de crédito,How does the College of Public Accountants promote the role of the public accountant?,Credit policies are: They aim to maximize return on investment
Acad_Teo_FAF_Qué son los activos,How is the code of ethics defined?,"Assets are: Resources or economic goods, owned by a business, with which benefits are obtained"
Acad_Teo_FAF_Qué son los fondos de fijo,What is the Mexican Institute of Public Accountants?,Fixed funds are: The amount of money that the company must maintain to meet its various commitments
"Acad_Teo_FAF_Se refiere a la suma de las tres anteriores, más el costo de la mercancía",What is the objective of professional associations of public accountants?,"What refers to the sum of the previous three, plus the cost of the merchandise object of the sale that could not be recovered is: Bad debt cost"
Acad_Teo_FAF_Tipos de razones financieras,Membership objective,"The types of financial ratios are: Liquidity, activity, indebtedness and profitability"
Acad_Teo_FC_L1_campos de actuación profesional,When does accounting start?,Los campos de actuación profesional son los ámbitos específicos en los que se desenvuelve el contador en los sectores público y privado Dá click aqui para más informacion relacionada
Acad_Teo_FC_L1_características que debe reunir el contador público del siglo XXI,Ethical principles of the professional practice of the public accountant,"Las características que debe reunir el contador público son el pensamiento crítico, innovador, colaborativo, multidisciplinario y estratega. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L1_el  papel del contador público el Colegio de Contadores Públicos,What is the profession?,El Colegio de Contadores Públicos promueve el papel del contador público como el profesional que agrega valor a la empresa. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L1_el código de ética,What are the accounting techniques and capabilities of accountants?,El código de ética se define como el conjunto de reglas que son mínimas para el comportamiento del contador público Dá click aqui para más informacion relacionada
Acad_Teo_FC_L1_Instituto Mexicano de Contadores Públicos,What requirements does accounting as a profession cover?,El Instituto Mexicano de Contadores Públicos es un organismo Nacional.
Acad_Teo_FC_L1_objetivo de las agrupaciones profesionales de contadores,Foundation of the Mexican Institute of Public Accountants,"El objetivo de las agrupaciones profesionales de contadores públicos es velar por el bienestar de la profesión, regular el ejercicio profesional, promover la expedición de leyes y reglamentos relativos a la profesión. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L1_objetivos de la colegiación,What are the public and private sectors?,"Uno de los objetivos de la colegiación es fortalecer la profesión, posicionarla y hacerla crecer. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L1_periodo se origina la contabilidad,What are the areas of knowledge that support the public accountant?,Accounting begins with the origin of the trade. Click here for more related information.
Acad_Teo_FC_L1_principios éticos en los que se basa el ejercicio profesional del contador,Who is Part B of the Code of Professional Ethics for?,"Los principios éticos en los que se basa el ejercicio profesional del contador público son la integridad, objetividad, competencia profesional, confidencialidad y comportamiento profesional."
Acad_Teo_FC_L1_Qué es profesión,Who is Part D of the Code of Professional Ethics for?,The profession is a permanent and specialized activity. Click here for more related information.
Acad_Teo_FC_L1_redundan las técnicas contables y capacidades de los contadores,What is the purpose of the general rules for workers?,Las técnicas contables y capacidades de los contadores redundan en la información adecuada y suficiente para los auditores. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L1_requisitos que cubre la Contaduría,How is social responsibility considered in the professional development of an accountant towards his clients?,"The requirements that accounting as a profession covers are academic, social, legal, personal and intellectual. Click here for more related information."
Acad_Teo_FC_L1_se funda el Instituto Mexicano de Contadores Públicos,What is part E of the Code of Professional Ethics about?,El Instituto Mexicano de Contadores Públicos se funda gracias a la necesidad de asociarse y formar una agrupación que estableciera las bases éticas de los contadores públicos de país. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L1_sectores público y privado,Difference between ethics and moral norms?,Son dos de los sectores en lo que puede prestar sus servicios el contador público Dá click aqui para más informacion relacionada
Acad_Teo_FC_L1_áreas de conocimiento que apoyan al contador,Social responsibility of a public accountant,"The areas of knowledge that support the public accountant are administration, mathematics, statistics, economics and computer science. Click here for more related information."
Acad_Teo_FC_L2_A quienes aplica la parte B del código de ética,For what purpose was the code of ethics for public accountants modified?,La parte B del código de ética profesional aplica a contadores públicos que ejercen su profesión de manera independiente. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L2_A quienes aplica la parte D del código de ética,What is ethics?,La parte D del código de ética profesional aplica a contadores públicos que ejercen su profesión en el área de la docencia. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L2_Cuál es la finalidad que tienen las normas  generales,With what basic principles should the public accountant practice?,La finalidad que tienen las normas generales para los trabajadores es orientar las acciones del personal que integra el área de contabilidad. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L2_Cómo se considera la responsabilidad social en el desarrollo de un contador,What are the fundamental ethical principles that a certified public accountant must adhere to?,"La responsabilidad social en el desarrollo profesional de un contador hacia sus clientes se considera hoy en día como normativa, no como obligatoria Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L2_De qué habla la parte E del Código de ética,How many parts does the code of professional ethics contain?,"La parte E del Código de ética profesional habla de las sanciones por la falta de cumplimiento en las partes A, B, C y D. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L2_diferencia entre lo que es la ética y  las normas morales,What should the public accountant have as a responsibility towards society?,"La ética es una disciplina, la moral son las normas de conducta. Dá click aqui para más informacion relacionada"
