Intents,Query,Response
Acad_Teo_FilDer_L4_los valores morales,¿Qué son los valores morales?,"Los valores morales son cualidades especiales que están en los objetos, en las personas o en las acciones, o/y sólo los seres humanos somos capaces de valorar esas cualidades.
</br><a href=""https://www.youtube.com/watch?v=sQ_DWG34UOE"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_origen de los vocablos ético y moral,¿Cuál es el origen de los vocablos ético y moral?,"El origen del vocablo ético y moral, es el griego y latín 
</br><a href=""https://www.youtube.com/watch?v=Ym_TJwKFR0s"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es carácter moral,¿Qué es carácter moral?,"El carácter moral es una evaluación de las cualidades morales y mentales de una persona. Dicha evaluación es subjetiva.
</br><a href=""http://recursostic.educacion.es/secundaria/edad/4esoetica/quincena2/impresos/quincena2.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es el sentido objetivo,¿Qué es el sentido objetivo?,"El sentido objetivo no depende del individuo sino del objeto en discusión, es decir, los valores morales existen sin importar que un individuo o una cultura crean que existen o no."
Acad_Teo_FilDer_L4_Qué es el sentido subjetivo,¿Qué es el sentido subjetivo?,"El sentido subjetivo es cuando depende del individuo (sujeto) y no del objeto.
</br><a href=""https://www.youtube.com/watch?v=mpswtdqYCQk"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es la moral,¿Qué es la moral?,"Se le llama moral al conjunto de normas, códigos o principios, cuyo propósito es regir la conducta humana en función de aquellos valores que conducen al bien general.
</br><a href=""https://archivos.juridicas.unam.mx/www/bjv/libros/5/2228/4.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es la ética,¿Qué es la ética?,"La ética es la disciplina axiológica que estudia los valores morales; pretende establecer un saber universal acerca de ellos mediante un pensamiento reflexivo que nos sirva para guiar la conducta de cualquier persona.
</br><a href=""https://www.youtube.com/watch?v=sQ_DWG34UOE"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es modo imperativo,¿Qué es modo imperativo?,"El modo imperativo es el lenguaje propio del derecho, en presente o futuro, y compete a acciones realizadas por acciones humanas. 
</br><a href=""http://www.scielo.org.co/pdf/difil/v11n16/v11n16a04.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es modo indicativo,¿Qué es modo indicativo?,"El modo indicativo son las respuestas precisas, informativas y cognoscitivas; se expresan temporalmente en el presente."
Acad_Teo_FilDer_L4_Qué es sentido moral,¿Qué es sentido moral?,"El sentido moral es una evaluación del significado del hombre, de su auto interpretación, en la existencia del mundo social 
</br><a href=""http://institucional.us.es/revistas/themata/02/10%20Carracedo.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_Qué es sociología,¿Qué es sociología?,"La sociología se compone en partes esenciales de la superestructura que se rige sobre las estructuras de producción y la sociedad dividida en clases. 
</br><a href=""https://www.youtube.com/watch?v=yNlPNNYS5LA"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_se dice que el hombre es estructuralmente ético,¿Por qué se dice que el hombre es estructuralmente ético?,"Se dice que el hombre es estructuralmente ético porque nos forjamos de carácter para tomar decisiones 
</br><a href="" https://www.youtube.com/watch?v=1borb770HAw"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_se refiere dimensión social,¿A qué se refiere dimensión social?,"La dimensión social se refiere a la habilidad de relacionarte con otras personas. Se obtiene mediante una comunicación que implica una escucha activa, así como la puesta en práctica de actitudes asertivas y empáticas con otros.
</br><a href="" https://www.youtube.com/watch?v=e4fpG_CV0Ak"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L4_un campo en el que la ética no puede dar respuestas porque no es su tarea,¿Cuál es un campo en el que la ética no puede dar respuestas porque no es su tarea?,"El campo en el que la ética no puede dar respuestas porque no es su tarea es dictar normas y justificar principios o comportamientos 
</br><a href="" http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-31222017000200233"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_Definición de moral,¿Que es la moral?,"Moral, es el conjunto de principios, normas y valores que cada generación trasmite a la siguiente, en la confianza de que se trata de un buen legado de orientaciones sobre el modo de comportarse para llevar una vida “buena” y “justa”
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/4192166.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_Definición de moral,Definición de moral,"Moral, es el conjunto de principios, normas y valores que cada generación trasmite a la siguiente, en la confianza de que se trata de un buen legado de orientaciones sobre el modo de comportarse para llevar una vida “buena” y “justa”
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/4192166.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_el compromiso del individuo con respecto a los demás y para consigo mismo,¿Qué considera el compromiso del individuo con respecto a los demás y para consigo mismo?,"Se considera el compromiso del individuo con respecto a los demás y para consigo mismo con la ética individual 
</br><a href=""https://www.youtube.com/watch?v=xXyF_lcBWi4"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la diferencia entre la ética y la filosofía moral,¿En qué radica la diferencia entre la ética y la filosofía moral?,"La diferencia entre la ética y la filosofía moral radica en los conceptos, la ética habla desde la razón y la reflexión filosófica, pero la moral se refiere a los actos que realizamos día a día durante nuestra vida
</br><a href=""https://www.youtube.com/watch?v=eHIDwx6J-lA"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la diferencia entre responsabilidad moral y libertad,¿Cuál es la diferencia entre responsabilidad moral y libertad?,"La responsabilidad moral se ejerce mediante la libertad, puesto que se es libre de tomar de decisiones, teniendo en cuenta que esto conlleva una responsabilidad de nuestros actos
</br><a href=""https://www.youtube.com/watch?v=z6jGRWcnlUA"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la filosofía moral,¿Qué hace la filosofía moral?,"La filosofía moral explica las valoraciones morales que efectuamos de hecho por un análisis de la naturaleza humana
</br><a href=""https://archivos.juridicas.unam.mx/www/bjv/libros/5/2228/4.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la libertad,¿Qué es libertad?,"Libertad es el poder, radicado en la razón y más inmediatamente en la voluntad, de obrar o de no obrar, de hacer esto o aquello, de ejecutar así, por sí mismo, acciones deliberadas.
</br><a href=""http://roderic.uv.es/bitstream/handle/10550/34445/023001.pdf?sequence=1"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la libertad,¿Qué es la libertad?,"Libertad es el poder, radicado en la razón y más inmediatamente en la voluntad, de obrar o de no obrar, de hacer esto o aquello, de ejecutar así, por sí mismo, acciones deliberadas.
</br><a href=""http://roderic.uv.es/bitstream/handle/10550/34445/023001.pdf?sequence=1"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la responsabilidad moral,¿Qué es la responsabilidad moral?,"La responsabilidad moral es la capacidad y obligación moral que tiene un sujeto de responder plenamente por los actos realizados, si es que éstos tienen su origen en un comportamiento libre y consciente.
</br><a href=""https://www.youtube.com/watch?v=WFdHPVYHhKI"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_la ética individual,¿En que se ocupa la ética individual?,"La ética individual se ocupa principalmente de la autodisciplina, de la formación del carácter 
</br><a href=""https://www.youtube.com/watch?v=xXyF_lcBWi4"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_los dos principios del obrar conforme al deber formalismo moral,¿Cuáles son los dos principios del obrar conforme al deber formalismo moral?,"Uno es la conformidad misma de la acción con el deber moral, otro, la inclinación natural, que lleva coincidentemente a esa acción. 
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/2060145.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_los dos tipos de conductas de responsabilidad moral para Aristóteles,¿Cuáles son los dos tipos de conductas de responsabilidad moral para Aristóteles?,"Para Aristóteles, los dos tipos de conductas de responsabilidad moral son voluntarias e involuntarias
</br><a href="" https://www.youtube.com/watch?v=gqlcwF9o48o"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_los tres elementos que comprende la valoración moral,¿Cuáles son los tres elementos que comprende la valoración moral?,"Los tres elementos que comprende la valoración moral son el valor atribuible, el objeto valorado (actos a normales morales) y el sujeto que valora
</br><a href=""http://biblio3.url.edu.gt/publiclg/lib/2009/etica/5.5.2.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_normas que rigen la conducta del individuo en la sociedad,¿Qué es el establecimiento de normas que rigen la conducta del individuo en la sociedad?,"El establecimiento de normas que rigen la conducta del individuo en la sociedad es la ética social 
</br><a href=""https://www.youtube.com/watch?v=xXyF_lcBWi4"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_objeto social establecido por el hombre en curso de su actividad histórico-social,"¿Qué cualidad se atribuye a un objeto social, establecido o creado por el hombre en el curso de su actividad histórico-social?","La cualidad que se atribuye a un objeto social, establecido o creado por el hombre en el curso de su actividad histórico-social es el valor 
</br><a href=""https://www.youtube.com/watch?v=tujOcHtXFv4"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_Qué es el formalismo,¿Qué es el formalismo?,"Formalismo es el concepto que consiste en aplicar con rigurosidad y sin desviarse de sus preceptos, una determinada doctrina o metodología en el desarrollo de un proceso investigativo o de enseñanza
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/2060145.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L5_Qué es moralidad,¿Qué es moralidad?,"La moralidad es la condición bajo la cual un ser racional puede ser fin en sí mismo. 
</br><a href=""https://digitum.um.es/xmlui/bitstream/10201/8707/1/Habermas%20y%20el%20universo%20moral.pdf?sequence=1"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_Cuándo surgió la teoría de los valores de Frondizi,¿Cuándo surgió la teoría de los valores de Frondizi?,"La teoría de los valores de Frondizi es un aporte reciente que surgió a finales del siglo XIX y alcanzó su madurez en la segunda mitad del siglo XX
</br><a href=""http://www.bing.com/videos/search?q=UPB+Bolivia&qft=+filterui%3auserpage-upbyou11&view=detail&mid=FBCF49CD917B5AC5A5F5FBCF49CD917B5AC5A5F5&&FORM=VRDGAR"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_dividio Aristóteles la justicia,¿Cómo dividio Aristóteles la justicia?,"En el año 384 a.C., la justicia estaba orientada a la distribución de beneficios que recibían los ciudadanos dentro de la polis, Aristóteles la dividió en general y particular
</br><a href=""https://www.youtube.com/watch?v=AWNbKOkn36Y"" target=""_blank"">Dá click aquí para más información</a>"
"Acad_Teo_FilDer_L6_el bien y el mal, según Platón","¿Qué es el bien y el mal, según Platón?","Según Platón, el bien es la idea suprema y el mal es la ignorancia 
</br><a href="" https://www.youtube.com/watch?v=cbXkPNBw0aw"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_el escepticismo,¿Qué es el escepticismo?,"El escepticismo es una corriente filosófica basada en la duda 
</br><a href=""https://www.youtube.com/watch?v=8QWnxqCz6MQ"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_el fundador del escepticismo,¿Quién fue el fundador del escepticismo?,"El fundador del escepticismo fue Pirrón 
</br><a href=""http://www.uco.es/philosophical-skepticism/philosophical-skepticism/index.html#:~:text=Es%20una%20actitud%20prudente%20contra,desarrollo%20de%20la%20filosof%C3%ADa%20griega."" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_la moral es relativa,¿Por que la moral es relativa?,"La moral es relativa para los hombres en diferentes épocas y distintos lugares, lo bueno y malo, justo e injusto; y no hay elemento común en los diferentes órdenes morales.
</br><a href=""https://www.youtube.com/watch?v=SBYJbnUCTQE"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_la relación del derecho y la justicia,¿Cuál es la relación del derecho y la justicia?,"La relación del derecho y la justicia es que la justicia  da un esquema lógico al derecho, con una conexión íntima de la ley con la moral social
</br><a href=""https://gloria.tv/video/8dhBRd8h8d7Z6AwVzC27Cevm3"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_la ética judicial del mejor juez,¿Qué reclama la ética judicial del mejor juez?,"La ética judicial del mejor juez reclama la vocación  de excelencia o magnanimidad, y la decisión personal del juez para cumplir con su función del mejor modo
</br><a href=""http://www.bing.com/videos/search?q=ética+jur%C3%ADdica&&view=detail&mid=43F33C1CE7CD20F18A2543F33C1CE7CD20F18A25&&FORM=VDRVRV"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_la ética judicial,¿Qué es la ética judicial?,"La ética judicial es un conjunto de comportamientos necesarios para la satisfacción de intereses comprometidos con el ejercicio de la actividad judicial y aceptación de las decisiones por parte de sus destinatarios.
</br><a href=""http://media.cervantesvirtual.com/s3/BVMC_OBRAS/021/515/408/2b2/11d/fac/c70/021/85c/e60/64/mimes/02151540-82b2-11df-acc7-002185ce6064.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_la ética jurídica de los comportamientos,¿Qué requiere la ética jurídica de los comportamientos?,"La ética jurídica de los comportamientos requiere personalidad o idoneidad ética
</br><a href=""http://www.bing.com/videos/search?q=ética+jur%C3%ADdica&&view=detail&mid=E688A1897DFFD9A61D75E688A1897DFFD9A61D75&&FORM=VRDGAR"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_las cualidades terciarias,¿Qué son las cualidades terciarias?,"Las cualidades tericarias con aquellas que están compuestas por los valores, como una propiedad estimativa por un grupo o sujeto sobre los bienes: agrado, belleza, interés, fealdad, justeza, etcétera."
"Acad_Teo_FilDer_L6_lo que es bueno para uno, puede ser malo para otro","¿Por qué lo que es bueno para uno, puede ser malo para otro?","Lo que es bueno para uno, puede ser malo para otro porque la moral no se presenta como código de decisión dentro del sistema del derecho moderno
</br><a href=""https://www.youtube.com/watch?v=F7OaudDNT8Y"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_los elementos centrales de la justicia,¿Cuáles son los elementos centrales de la justicia que aparecen en la teoría de Platón?,"Los elementos centrales de la justicia que aparecen en la teoría de Platón son la razón, la cual  controla los excesos y deseos individuales; y la política, que aporta aquellos elementos que le permiten al hombre vivir en la polis
</br><a href=""https://www.youtube.com/watch?v=mySmEURoQFw"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_los valores según Frondizi,¿Qué son los valores según Frondizi?,"Según Frondizi, los valores no son objetos materiales ni ideales, ni tampoco emociones, deseos, o intuiciones. Los valores son cualidades terciarias.
</br><a href="" https://www.youtube.com/watch?v=6w57MbAPB5s"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_relación entre derecho y moral,¿Cuál es la relación entre derecho y moral?,"La relación entre derecho y moral es que el derecho ha de ser un instrumento puesto al servicio de la dignidad moral de la persona. De acuerdo con la terminología kantiana, ""el jurista debe distinguir, por su contenido, las normas jurídicas cuya genealogía es la propia conciencia, de aquellas que se derivan de las prescripciones sociales"".
</br><a href=""http://www.derecho.duad.unam.mx/amicus-curiae/descargas/junio09/moral_y_derecho.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_relación entre derecho y moral,Relación entre derecho y moral,"La relación entre derecho y moral es que el derecho ha de ser un instrumento puesto al servicio de la dignidad moral de la persona. De acuerdo con la terminología kantiana, ""el jurista debe distinguir, por su contenido, las normas jurídicas cuya genealogía es la propia conciencia, de aquellas que se derivan de las prescripciones sociales"".
</br><a href=""http://www.derecho.duad.unam.mx/amicus-curiae/descargas/junio09/moral_y_derecho.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L6_se manifiesta el escepticismo,¿Cómo se manifiesta el escepticismo?,"El escepticismo se manifiesta como una actitud
</br><a href=""https://www.youtube.com/watch?v=8QWnxqCz6MQ"" target=""_blank"">Dá click aquí para más información</a>"
"Acad_Teo_FilDer_L7_concepción normativista, institucionalista, relacionista y conductista","¿Qué es la concepción normativista, concepción institucionalista, concepción relacionista y concepción conductista del derecho?","La concepción normativista, concepción institucionalista, concepción relacionista, concepción conductista del derecho son teorías filosóficas del derecho. 
</br><a href=""http://www.rebelion.org/docs/96556.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_definición de derecho,¿Cuál es la definición de derecho?,"De acuerdo con el conocimiento del derecho, el derecho es una forma de la vida humana 
</br><a href=""https://www.youtube.com/watch?v=eQybqyaETqg"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_el criterio jurídico más básico de todos,¿Cuál es el criterio jurídico más básico de todos?,"El criterio jurídico más básico, es la capacidad humana de todo jurista de discernir lo justo de lo injusto, con la necesaria disposición a amar lo primero y a rechazar con firmeza lo segundo. 
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/4785290.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_el objetivo de la filosofía del derecho,¿Cuál es el objetivo de la filosofía del derecho?,"El objetivo de la filosofía del derecho es el dar un análisis filosófico general al derecho y a las instituciones jurídicas
</br><a href=""http://www.uco.es/dptos/ciencias-juridicas/filosofia-derecho/diego/Nuevo/FILOSOFIA/materiales/Filosofia%20Del%20Derecho%20-Juan%20Manuel%20Teran-.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_el significado de ius y de iniuria,¿Cuál es el significado de ius y de iniuria?,"El significado de ius y de iniuria es lo justo y lo injusto 
</br><a href=""http://dikaion.unisabana.edu.co/index.php/dikaion/article/view/1945/2499"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_el valor de la filosofía,¿Cuál es el valor de la filosofía?,"El valor de la filosofía es capaz de sugerir diversas opciones que amplían los pensamientos
</br><a href=""https://www.youtube.com/watch?v=dUhGfifcQgc"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_el valor filosófico del derecho,¿Dónde puede hallarse el valor filosófico del derecho?,"El valor filosófico del derecho puede hallarse exclusivamente entre los bienes del espíritu 
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/2061325.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_la diferencia entre lo justo e injusto,¿Cuál es la diferencia entre lo justo e injusto?,"Lo injusto se identifica como lo ilegal y lo desigual; lo justo, como lo legal y lo equitativo
</br><a href=""http://dikaion.unisabana.edu.co/index.php/dikaion/article/view/1945/2499"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_la justicia para Aristóteles,¿Qué significa la justicia para Aristóteles?,"Para Aristóteles la justicia significa lo que preserva la felicidad 
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/4785290.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_la teoría conductista del derecho,¿En que se inspira la teoría conductista del derecho?,"La teoría conductista del derecho se inspira en el individualismo, según el cual el derecho sería producto de la voluntad de los particulares.
</br><a href=""https://www.palermo.edu/derecho/pdf/teoria-del-derecho/n3/TeoriaDerecho_02.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_la Teoría normativa del derecho,¿A que se refiere la Teoría normativa del derecho?,"La Teoría normativa del derecho se refiere a que el derecho es un mecanismo que sirve para mantener y limpiar las arterias del orden de la sociedad y permitir el flujo de las relaciones sociales y jurídicas.
</br><a href=""https://dialnet.unirioja.es/descarga/articulo/2060587.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_los hechos jurídicos,¿Qué son los hechos jurídicos?,"Los hechos jurídicos son hechos que importan al derecho, producen efectos jurídicos.
</br><a href=""http://www.derecho.uba.ar/publicaciones/pensar-en-derecho/revistas/0/hechos-y-actos-o-negocios-juridicos..pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_medirse el valor de la filosofía,¿Cómo ha de medirse el valor de la filosofía?,"El valor de la filosofía se mide por el valor de los problemas mismos 
</br><a href=""https://www.youtube.com/watch?v=dUhGfifcQgc"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_Qué abarca la filosofía,¿Qué abarca la filosofía?,"La filosofía abarca la totalidad del conocimiento de las ciencias y dentro de sus ramas abarca a la teoría del conocimiento de las ciencias, tanto formales como experimentales o materiales, por utilizar el método científico.
</br><a href="" https://www.youtube.com/watch?v=KPrCNfpGP8A"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_FilDer_L7_se caracteriza el acto jurídico,¿Cómo se caracteriza el acto jurídico?,"El acto jurídico se caracteriza por ser voluntario y generar efectos a terceros 
</br><a href=""https://archivos.juridicas.unam.mx/www/bjv/libros/8/3834/6.pdf"" target=""_blank"">Dá click aquí para más información</a>"
Acad_Teo_HDM_ trabajo de las minas en la Nueva España,¿Quiénes realizaban mayoritariamente el trabajo de las minas en la Nueva España durante la segunda década del siglo XVI?,"Los indígenas. </br><a href=”https://archivos.juridicas.unam.mx/www/bjv/libros/1/184/4.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_abordado la historia del derecho a partir de 1900 y hasta la fecha,¿Cuáles son los principales enfoques con los que se ha abordado la historia del derecho a partir de 1900 y hasta la fecha?,"Legalista, historia social y jurídica institucional. </br><a href=”https://e-archivo.uc3m.es/handle/10016/10488"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_abordar la historia del derecho indiano,¿Cómo se debe de abordar la historia del derecho indiano?,"Tomando en cuenta las ciencias sociales. </br><a href=”http://www.revistaderechopublico.uchile.cl/index.php/RCHD/article/download/26154/27452"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_acontecimientos que permitieron el ingreso de España a la Edad Moderna,¿Cuáles fueron los acontecimientos que permitieron el ingreso de España a la Edad Moderna como una potencia Europea?,"Expulsión de los judíos, Reconquista de España, Unificación de Castilla y Aragón y Capitulación de Santa Fe. </br><a href=”https://biblio.juridicas.unam.mx/bjv/detalle-libro/320-historia-del-derecho-mexicano"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_actos dan lugar al juicio de amparo,¿Qué actos dan lugar al juicio de amparo?,"Los que agravien a las personas. </br><a href=”https://archivos.juridicas.unam.mx/www/bjv/libros/5/2328/6.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_Administración general del Estado,¿Qué fin tenia la administración general del Estado?,"Tenía como fin primordial mantener a los pueblos en paz y en justicia. </br><a href=”https://archivos.juridicas.unam.mx/www/bjv/libros/2/818/6.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_Agricultura,¿Qué es la agricultura?,"Agricultura: Fue la actividad económica más importante en América en los siglos XVII y XVIII debido al crecimiento de la población y, por lo tanto, de la demanda de alimentos."
Acad_Teo_HDM_amparo en México,¿En qué periodo nació el amparo en México?,Entre 1840 y 1857.
Acad_Teo_HDM_apartado incluyó la Constitución de 1857,¿Qué apartado incluyó la Constitución de 1857 y que representó un cambio trascendente para México?,"Derechos del hombre. </br><a href=”http://www.uam.mx/difusion/casadeltiempo/13_iv_nov_2008/casa_del_tiempo_eIV_num13_09_13.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_apropiación privada de la tierra,¿Cuáles fueron los primeros actos de apropiación privada de la tierra?,"Los repartos de tierra entre conquistadores. </br><a href=”https://archivos.juridicas.unam.mx/www/bjv/libros/1/305/4.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_Artesanía,¿Qué es Artesanía?,"Artesanía: Es una actividad que estuvo controlada por los gremios, tiene una estructura cerrada y  rígidas normas que impiden la libre competencia."
Acad_Teo_HDM_Artículo 15,¿De qué trata el artículo 15?,Artículo 15: Artículo del discurso de Morelos “Sentimientos de la nación” en el que se menciona la prohibición de la esclavitud.
Acad_Teo_HDM_autor de Apuntes para la historia del derecho en México,"¿Quién es el autor de Apuntes para la historia del derecho en México, obra clásica que en su tiempo fue la única referencia para el estudio de la tradición jurídica en el país?","Toribio Esquivel Obregón. </br><a href=”https://revistas-colaboracion.juridicas.unam.mx/index.php/anuario-mexicano-historia-der/article/view/29395/26518 PDF"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_autoridad en los pueblos mesoamericanos,¿Cuál era la más alta figura de autoridad en los pueblos mesoamericanos?,"El Tlatoani. </br><a href=”https://biblio.juridicas.unam.mx/bjv/detalle-libro/320-historia-del-derecho-mexicano"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_autoridades coexisten en el federalismo,¿Qué autoridades coexisten en el federalismo?,"Federal y local. </br><a href=”https://www.youtube.com/watch?v=gZDijksddhk"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_Autoridades,¿Qué buscaban las Autoridades?,Autoridades: Buscaban limitar los abusos sobre el trabajo de los indios de encomienda.
Acad_Teo_HDM_año en el que España obtuvo todo el territorio de América,"Fue el año en el que España obtuvo todo el territorio de América, excepto Brasil, mediante el Tratado de Tordesillas.",1494.
Acad_Teo_HDM_año fue formalmente creado el Juzgado General de Indios,¿En qué año fue formalmente creado el Juzgado General de Indios?,"1592. </br><a href=”https://archivos.juridicas.unam.mx/www/bjv/libros/2/730/17.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_año la Audiencia eligió a los jueces de residencia de corregidores,¿En qué año la Audiencia eligió a los jueces de residencia de corregidores y a los alcaldes mayores en la Nueva España?,En 1585.
Acad_Teo_HDM_año se instauró el Santo Oficio de México,¿En qué año se instauró el Santo Oficio de México de manera estable en el Palacio Episcopal?,"1536.  </br><a href=”https://dialnet.unirioja.es/servlet/articulo?codigo=157817"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_base de la organización política en México,"Según la Ley del 25 de diciembre de 1914, ¿cuál es la base de la organización política en México?","Los municipios. </br><a href=”https://revistas-colaboracion.juridicas.unam.mx/index.php/rev-facultad-derecho-mx/article/view/27658/24986"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_Cacique,¿Cuál es el termino de cacique?,"Cacique: Este término fue arduamente promovido por la monarquía española; se verificó como una real cédula el 26 de febrero de 1538, donde se exhortaba a que cualquier autoridad indígena fuese llamado así. </br><a href=”https://gredos.usal.es/bitstream/handle/10366/108961/DDAFP_Figuera_Vargas_SC_LaJurisdicci%F3nEspecial.pdf;jsessionid=96CA7EED2643C5BAB5BE520A6DE5DDE8?sequence=1"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_carácter se le dio a la educación,¿Qué carácter se le dio a la educación por parte del Congreso Constituyente?,"Laico y nacionalista. </br><a href=”http://www.sedena.gob.mx/pdf/momentos/fasciculo_7.pdf"" target=""_blank"">Da clic aquí para más información relacionada.</a>"
Acad_Teo_HDM_Castilla estaban conformadas por estamentos,"Las cortes por estamentos que se llevaban a cabo en Castilla estaban conformadas por estamentos, entre los que se encontraban.","Nobleza, clero y estado llano."
